variant,accuracy,balanced_accuracy,macro_f1,nll,brier,ece,trade_ann_return,trade_sharpe,trade_max_drawdown,trade_calmar,trade_mean_daily_return,trade_tail_loss_5pct,trade_fp_buy_loss,regimes_used,adapt_rate,mean_shock
no_adaptation,0.25248189365836426,0.22699247681084325,0.2212805520780353,1.5730426097368404,0.7887450635774123,0.06430902378131848,-0.283148679397491,-1.3978421755101376,0.921011285048912,-0.3074323670009607,-0.0012242160905521504,-0.02072759596614336,0.03157295321939838,,,
fintta_prequential,0.2932034976152623,0.200373349101781,0.09249918636545351,3.366764947295155,1.257806940713431,0.5939757325409305,-0.2819494575701905,-1.0846356284609118,0.9031069352687245,-0.3121994157712704,-0.0011648159823661347,-0.02499455444584672,0.03597634032254747,2.0,0.9936406995230525,0.25497932709416354
fintta_same_batch,0.2932034976152623,0.20037987466155371,0.0925288831328522,3.3700616795975784,1.25818425033598,0.5942728593920497,-0.28338558262484437,-1.0843094159879259,0.9063509607535346,-0.31266649994934265,-0.001171096511442853,-0.024598962987473914,0.03594361465480039,2.0,0.9936406995230525,0.25497932709416354
fintta_no_risk,0.115646528881823,0.20385569900015726,0.060299429951061564,5.386716812885057,1.5546496867738986,0.7397593963044342,-0.07359794604193814,-0.18421279099980298,0.6763946331887889,-0.10880918095825189,-0.00018155313478966458,-0.023726177337042166,0.04193983473685437,2.0,0.9936406995230525,0.25497932709416354
fintta_no_graph,0.2927795442501325,0.20103472685155852,0.09530281369728062,3.3980228308323643,1.2555420056421591,0.591682155528763,-0.29068926286732355,-1.1187581792536587,0.9076865506537241,-0.3202529140237302,-0.0012110230884991638,-0.025396656116947112,0.0359617063997901,2.0,0.9936406995230525,0.25497932709416354
fintta_no_prior,0.11158805864688218,0.2019510904468417,0.05063114747246934,7.92825463646576,1.6638534140158543,0.8139293261931845,-0.13241787483744472,-0.4765856998068414,0.7617867338364087,-0.1738253883346139,-0.000451067814285309,-0.022295500858614502,0.040148203320033625,2.0,0.9936406995230525,0.25497932709416354
fintta_no_teacher,0.29296060766649,0.2006939518794068,0.09390204976968167,3.368326324009805,1.2557653471813317,0.5923274556602285,-0.28458059561010407,-1.087063744488707,0.907365290212168,-0.31363398917678165,-0.0011769713090345054,-0.025514687184233248,0.03605248552304899,2.0,0.9936406995230525,0.25497932709416354
tent_lite,0.1116852146263911,0.20191980293946296,0.05054648341971886,8.970778467218855,1.6786623791018813,0.8220235455872692,-0.13098174297568632,-0.47740704603761674,0.7593638093622128,-0.17248878779925655,-0.00044695867225615185,-0.022122150576569466,0.03928562767186161,2.0,0.9936406995230525,0.25497932709416354
